Diretoria;Prioridade;Unidade;Responsavel;TemaMacro;Nome;Fornecedor;Modalidade;Tipo;Horas;Investimento;PublicoAlvo;Participantes;Turma;Mes;Data;Status;Convidados;Presentes;NPS;Justificativa
Jurídico;TOP 3;NU;Raquel M. Vieira;Ambiental | Minerário | Regulatório | Relações Institucionais;Curso de Extensão sobre direito imobiliário;Escola Paulista de Direito EPD;;Externo;;;Advogado e Bacharéis em Direito;4;T1;JAN;;Stand-by;5;;;
Jurídico;TOP 4;NU;Raquel M. Vieira;Ambiental | Minerário | Regulatório | Relações Institucionais;Workshop in Company Direito Ambiental;WF/Demarest;;Externo;;;Advogado e Bacharéis em Direito;3;T1;OUT;;Em andamento;3;;; 
Jurídico;TOP 5.1;NU;Raquel M. Vieira;Ambiental | Minerário | Regulatório | Relações Institucionais;"Storytelling: Melhorando a Capacidade de Comunicação Storytelling, Técnicas de Apresentação e Media Training;";INSPER;;Externo;;;Advogado e Bacharéis em Direito;1;T1;JUN;;;1;;;
Jurídico;TOP #;NU;Raquel M. Vieira;Ambiental | Minerário | Regulatório | Relações Institucionais;Direito das Agências Reguladoras;FGV;;Externo;;;Advogado e Bacharéis em Direito;1;T1;SET;;Stand-by;;;;
Jurídico;TOP #;NU;Raquel M. Vieira;Ambiental | Minerário | Regulatório | Relações Institucionais;MBA em regulação;FAAL;;Externo;;;Advogado e Bacharéis em Direito;1;T1;JAN;;Stand-by;;;;
Jurídico;TOP 1 ;NU;Michele Dornelas Nascimento;Jurídico Tributário;Curso de extenção em Reforma Tributária;IBET - Instituto Brasileiro de Estudos Tributários,;;Externo;;;Advogados/Contadores/Administradores/Economistas, etc;2;T1;OUT;;;2;;;
Jurídico;TOP 2;NU;Michele Dornelas Nascimento;Jurídico Tributário;Atualização em Reforma Tributária;IOB Educacional (online);;Externo;;;Advogados/Contadores/Administradores/Economistas, etc;2;T1;OUT;;;2;;;
Jurídico;TOP #;NU;Rebeca Andrili;Jurídico Trabalhista;Analista Departamento Pessoal Senior;EB Treinamentos;;Externo;;;Advogados/Profissionais de RH;1;T1;JAN;;Stand-by;;;;
Jurídico;TOP 5;NU;Rebeca Andrili;Jurídico Trabalhista;Cursos previdenciários, contabilidade, tributário e Depto. Pessoal;IOB Educacional (online);;Externo;;;Advogados/Profissionais de RH;1;T1;JAN;;;1;;;
Jurídico;TOP #;NU;Viviane Guerra;Gerente Sênior;Gestão Estratégica em Special Situations;Insper Educação Executiva;;Externo;;;Advogados;1;T1;DEZ;;Stand-by;;;;
Jurídico;TOP #;NU;Viviane Guerra;Gerente Sênior;Direito da Concorrência;Future Law;;Externo;;;Advogados;1;T1;OUT;;Stand-by;;;;
Jurídico;TOP #;NU;Keclz;Diretoria;Times de Alta Performance, Gestão da Mudança, Pressão por resultados;Teya;;Externo;;;Gestão;1;T1;MAI;;Stand-by;;;;
Jurídico;TOP #;NU;Keclz;Diretoria;Accountability e Gestão do Tempo;Interno;;Interno;;;Time;1;T1;MAI;1900-01-25;Planejado;;;;
Jurídico;TOP 0;NU;Thiago Piccin;Controladoria;Pós Graduação Online: Direito Previdenciário e do Trabalho para Gestão de Pessoas;EPD;Online;Externo;;1672.512;Analista Controladoria;1;T1;MAR;;;;;;
Comercial;TOP 1;NU;Alessandro;Comunicação;Trilha EAD Inteligência Emocional e Alta Performance;Live University - Dafinne;Online;Externo;4;;Vendas / Operações Comerciais / IM&P / Comunicação;258;T1;JUN;1900-01-29;Em andamento;;;;
Comercial;TOP 2;NU;Alessandro;Comunicação;Trilha EAD Técnicas de Apresentação/Storytelling;Live University - Dafinne;Online;Externo;4;;Vendas / Operações Comerciais / IM&P / Comunicação;258;T1;JUL;1900-01-27;Em andamento;;;;
Comercial;TOP 3;NU;Alessandro;Comunicação;Trilha EAD Negociação e Gestão de Conflitos;Live University - Dafinne;Online;Externo;4;;Vendas / Operações Comerciais / IM&P / Comunicação;258;T1;AGO;1900-01-20;Em andamento;;;;
Comercial;TOP 4;NU;Alessandro;Fiscal;Trilha EAD Conhecimento Básico Fiscal (imposto) parte 1;Live University - Rossana;Online;Externo;2;;Vendas / Atend. e Experiência do Cliente / Estratégia Canais Indiretos / IM&P;216;T1;JUL;1900-01-13;Em andamento;;;;
